system_id,hostname,ip_address,timestamp,uptime,os_type,os_version,os_release,kernel_version,architecture,platform,cpu_model,cpu_cores,cpu_threads,cpu_freq_current,cpu_freq_max,cpu_usage,cpu_user,cpu_system,cpu_idle,cpu_iowait,load_1m,load_5m,load_15m,ram_total,ram_used,ram_free,ram_percent,swap_percent,disk_type,disk_total,disk_used,disk_free,disk_percent,disk_io_wait,disk_read_bytes,disk_write_bytes,net_bytes_sent,net_bytes_recv,net_packets_sent,net_packets_recv,net_rtt,process_count,thread_count,top_process_cpu,top_process_memory,cpu_temp,fan_speed,power_usage
3,server-linux-02,192.168.1.30,01-01-26 0:01,300100,Darwin,macOS 13,22.0.0,22.0.0,x86_64,macOS-Ventura,AMD Ryzen 7 3700X,8,16,2.82,4.4,42.12,27.38,10.53,57.88,5.83,2.11,1.91,1.68,16,8.52,7.48,53.27,2.55,SSD,512,283.44,228.56,55.36,5.83,246877,195938,148162,270532,2514,2355,8.84,126,504,8.78,5.28,41.32,3104,195
4,server-mac-01,192.168.1.40,01-01-26 0:01,300110,Windows,Windows 10,10.0.19045,10.0.19045,x86_64,Windows-10,Apple M1,8,8,3.09,3.2,40.07,26.05,10.02,59.93,6.2,2,1.82,1.6,32,15.71,16.29,49.09,5.38,NVMe,512,436.61,75.39,85.28,6.2,273930,220784,198575,278654,2382,2896,11.36,105,420,21.38,16.34,55.05,3481,213
2,server-linux-01,192.168.1.10,01-01-26 0:02,300120,Windows,Windows 10,10.0.19045,10.0.19045,x86_64,Windows-10,AMD Ryzen 7 3700X,8,16,2.79,4.4,37.03,24.07,9.26,62.97,8.6,1.85,1.68,1.48,64,20.53,43.47,32.07,4.64,NVMe,1000,414.29,585.71,41.43,8.6,281186,224969,137064,167937,2679,3251,8.88,76,304,21.72,10.73,58.22,2747,206
4,server-mac-01,192.168.1.40,01-01-26 0:02,300130,Windows,Windows 10,10.0.19045,10.0.19045,x86_64,Windows-10,AMD Ryzen 7 3700X,8,16,3.66,4.4,45.34,29.47,11.34,54.66,6.82,2.27,2.06,1.81,32,20.35,11.65,63.61,4.86,SSD,2000,982.48,1017.52,49.12,6.82,232341,182712,222742,351685,1473,2964,7.63,101,404,26.26,6.87,57.69,3167,173
2,server-win-01,192.168.1.20,01-01-26 0:02,300140,Darwin,macOS 13,22.0.0,22.0.0,x86_64,macOS-Ventura,Apple M1,8,8,2.03,3.2,35.4,23.01,8.85,64.6,10.17,1.77,1.61,1.42,32,25.13,6.87,78.53,5.19,SSD,2000,1061.34,938.66,53.07,10.17,223290,128327,105315,277765,1694,2332,10.28,111,444,25.68,11.21,71.29,3345,216
2,server-linux-01,192.168.1.10,01-01-26 0:02,300150,Linux,Ubuntu 22.04,5.15.0,5.15.0-89-generic,x86_64,Linux-Ubuntu,Intel Xeon E5-2670,8,16,2.11,3.1,34.41,22.36,8.6,65.59,5.22,1.72,1.56,1.38,16,8.17,7.83,51.04,1.16,NVMe,1000,547.84,452.16,54.78,5.22,178952,209784,170441,198390,2488,3435,12.73,124,496,16.29,11.91,65.02,2655,232
4,server-mac-01,192.168.1.40,01-01-26 0:02,300160,Windows,Windows 10,10.0.19045,10.0.19045,x86_64,Windows-10,Intel i7-9750H,6,12,2.51,4,37.76,24.54,9.44,62.24,5.3,1.89,1.72,1.51,32,15.49,16.51,48.42,4.62,SSD,1000,521.69,478.31,52.17,5.3,191029,193462,177539,270767,1484,3395,0.23,123,492,6.78,14.98,59,2561,200
4,server-mac-01,192.168.1.40,01-01-26 0:02,300170,Linux,Ubuntu 22.04,5.15.0,5.15.0-89-generic,x86_64,Linux-Ubuntu,AMD Ryzen 7 3700X,8,16,3.82,4.4,46.35,30.13,11.59,53.65,5.08,2.32,2.11,1.85,64,25.74,38.26,40.22,3.44,NVMe,512,243,269,47.46,5.08,308314,196123,186611,290994,2444,2384,7.27,91,364,26.2,10.76,56.76,3447,202
4,server-mac-01,192.168.1.40,01-01-26 0:03,300180,Windows,Windows Server 2019,10.0.17763,10.0.17763,x86_64,Windows-Server,Apple M1,8,8,2.41,3.2,38.45,24.99,9.61,61.55,1.58,1.92,1.75,1.54,32,10.56,21.44,33.01,7.24,HDD,512,253.02,258.98,49.42,1.58,164082,190569,235137,329476,2082,3378,8.94,113,452,14.65,18.98,45.39,2934,206
2,server-win-01,192.168.1.20,01-01-26 0:03,300190,Darwin,macOS 13,22.0.0,22.0.0,x86_64,macOS-Ventura,AMD Ryzen 7 3700X,8,16,2.11,4.4,54.48,35.41,13.62,45.52,8.94,2.72,2.48,2.18,32,14.46,17.54,45.18,5.51,SSD,1000,667.88,332.12,66.79,8.94,194956,138892,171783,281237,2053,2901,8.48,122,488,9.44,13.55,63.37,2609,210
2,server-win-01,192.168.1.20,01-01-26 0:03,300200,Darwin,macOS 13,22.0.0,22.0.0,x86_64,macOS-Ventura,Apple M1,8,8,3.07,3.2,55.09,35.81,13.77,44.91,2.56,2.75,2.5,2.2,32,16.81,15.19,52.54,3.51,NVMe,1000,577.15,422.85,57.72,2.56,376937,159500,212183,316904,2051,2475,15.26,106,424,8.87,13.63,59.66,2783,218
3,server-linux-02,192.168.1.30,01-01-26 0:03,300210,Darwin,macOS 13,22.0.0,22.0.0,x86_64,macOS-Ventura,AMD Ryzen 7 3700X,8,16,4.12,4.4,31.18,20.27,7.79,68.82,6.72,1.56,1.42,1.25,32,12.94,19.06,40.43,8.36,SSD,512,404.95,107.05,79.09,6.72,310561,311725,163141,305527,2563,2419,10.87,128,512,9.68,14.97,61.96,3160,173
3,server-linux-02,192.168.1.30,01-01-26 0:03,300220,Windows,Windows 10,10.0.19045,10.0.19045,x86_64,Windows-10,Apple M1,8,8,2.56,3.2,42.14,27.39,10.53,57.86,7.03,2.11,1.92,1.69,64,35.87,28.13,56.04,3.96,SSD,1000,549.76,450.24,54.98,7.03,325368,301307,194742,244052,1921,3117,7.4,101,404,10.28,7.53,56.19,3168,212
4,server-mac-01,192.168.1.40,01-01-26 0:03,300230,Windows,Windows 10,10.0.19045,10.0.19045,x86_64,Windows-10,Apple M1,8,8,2.08,3.2,39.46,25.65,9.86,60.54,7.06,1.97,1.79,1.58,16,9.21,6.79,57.55,5.12,NVMe,512,319.06,192.94,62.32,7.06,376534,276949,185819,288856,1704,3408,8.18,152,608,4.04,8.06,61.66,3132,189
2,server-win-01,192.168.1.20,01-01-26 0:04,300240,Darwin,macOS 13,22.0.0,22.0.0,x86_64,macOS-Ventura,AMD Ryzen 7 3700X,8,16,3.15,4.4,34.17,22.21,8.54,65.83,5.6,1.71,1.55,1.37,64,26.42,37.58,41.28,3.44,SSD,512,292.2,219.8,57.07,5.6,300949,285056,166102,277098,2092,2664,9.96,120,480,18.67,7.5,72.24,3278,238
2,server-win-01,192.168.1.20,01-01-26 0:04,300250,Windows,Windows Server 2019,10.0.17763,10.0.17763,x86_64,Windows-Server,AMD Ryzen 7 3700X,8,16,3.6,4.4,36.57,23.77,9.14,63.43,7.4,1.83,1.66,1.46,64,35.44,28.56,55.38,5.32,NVMe,2000,1267.47,732.53,63.37,7.4,335094,216779,134377,178695,1782,3067,13.73,127,508,13.73,9.11,57.57,3174,214
2,server-win-01,192.168.1.20,01-01-26 0:04,300260,Linux,Ubuntu 22.04,5.15.0,5.15.0-89-generic,x86_64,Linux-Ubuntu,Intel Xeon E5-2670,8,16,2.42,3.1,55.05,35.78,13.76,44.95,4.86,2.75,2.5,2.2,64,30.38,33.62,47.46,5.82,HDD,512,460.71,51.29,89.98,4.86,154146,157886,147182,239178,1715,3165,11.48,125,500,27.94,6.34,55.64,2784,245
3,server-linux-02,192.168.1.30,01-01-26 0:04,300270,Windows,Windows Server 2019,10.0.17763,10.0.17763,x86_64,Windows-Server,AMD Ryzen 7 3700X,8,16,2.73,4.4,33.5,21.77,8.37,66.5,9.19,1.67,1.52,1.34,16,9.25,6.75,57.8,4.33,SSD,2000,1005.73,994.27,50.29,9.19,250342,239376,138163,229267,1496,2079,14.63,89,356,18.31,12.93,59.48,2837,232
2,server-win-01,192.168.1.20,01-01-26 0:04,300280,Linux,Ubuntu 22.04,5.15.0,5.15.0-89-generic,x86_64,Linux-Ubuntu,Apple M1,8,8,2.76,3.2,36.69,23.85,9.17,63.31,3.44,1.83,1.67,1.47,16,8.4,7.6,52.52,5.76,NVMe,2000,954.07,1045.93,47.7,3.44,273960,165189,162982,306239,1875,3204,15.94,88,352,25.34,16.07,64.02,3099,184
2,server-win-01,192.168.1.20,01-01-26 0:04,300290,Windows,Windows Server 2019,10.0.17763,10.0.17763,x86_64,Windows-Server,Intel Xeon E5-2670,8,16,2.31,3.1,49.45,32.15,12.36,50.55,6.64,2.47,2.25,1.98,64,31.55,32.45,49.3,5.66,SSD,1000,402.31,597.69,40.23,6.64,208298,140724,159820,276877,2260,2711,14.61,137,548,12.56,15.35,42.54,2891,204
2,server-win-01,192.168.1.20,01-01-26 0:05,300300,Windows,Windows 10,10.0.19045,10.0.19045,x86_64,Windows-10,Apple M1,8,8,2.4,3.2,36,23.4,9,64,5.97,1.8,1.64,1.44,64,25.43,38.57,39.74,4.67,HDD,1000,626.74,373.26,62.67,5.97,299905,206649,150400,296456,2529,2436,4.57,108,432,10.34,11.43,77.74,3325,166
3,server-linux-02,192.168.1.30,01-01-26 0:05,300310,Windows,Windows 10,10.0.19045,10.0.19045,x86_64,Windows-10,Apple M1,8,8,2.87,3.2,46.12,29.98,11.53,53.88,5.07,2.31,2.1,1.84,32,11.94,20.06,37.31,3.48,SSD,1000,580.98,419.02,58.1,5.07,245616,222533,232535,296358,2062,2382,13.47,69,276,15.3,21.81,77.31,3250,252
2,server-win-01,192.168.1.20,01-01-26 0:05,300320,Windows,Windows 10,10.0.19045,10.0.19045,x86_64,Windows-10,Intel Xeon E5-2670,8,16,2.77,3.1,27.69,18,6.92,72.31,4.63,1.38,1.26,1.11,64,37.99,26.01,59.36,3.83,SSD,1000,551.94,448.06,55.19,4.63,328805,216208,217170,324405,2281,2158,5.33,98,392,26.84,5.31,63.16,2825,210
1,server-linux-01,192.168.1.10,01-01-26 0:05,300330,Linux,Ubuntu 22.04,5.15.0,5.15.0-89-generic,x86_64,Linux-Ubuntu,Intel i7-9750H,6,12,3.57,4,43.61,28.35,10.9,56.39,6.88,2.18,1.98,1.74,32,13.22,18.78,41.3,2.32,HDD,1000,613,387,61.3,6.88,201103,221396,211681,283296,2039,3205,11.7,112,448,16.07,11.67,66.77,3052,182
1,server-linux-01,192.168.1.10,01-01-26 0:05,300340,Linux,Ubuntu 22.04,5.15.0,5.15.0-89-generic,x86_64,Linux-Ubuntu,AMD Ryzen 7 3700X,8,16,4.21,4.4,34.68,22.54,8.67,65.32,2.98,1.73,1.58,1.39,16,11.06,4.94,69.12,6.38,NVMe,2000,1714.6,285.4,85.73,2.98,100633,203524,119450,197001,2078,1828,14.14,118,472,19.58,12.39,68.28,2499,189
1,server-linux-01,192.168.1.10,01-01-26 0:05,300350,Windows,Windows Server 2019,10.0.17763,10.0.17763,x86_64,Windows-Server,Intel i7-9750H,6,12,2.47,4,39.03,25.37,9.76,60.97,5.64,1.95,1.77,1.56,64,38.86,25.14,60.71,7.18,HDD,2000,1031.72,968.28,51.59,5.64,282618,134379,202243,205632,1874,3108,8.05,138,552,20.18,14.37,57.98,2533,213
1,server-linux-01,192.168.1.10,01-01-26 0:06,300360,Linux,Ubuntu 22.04,5.15.0,5.15.0-89-generic,x86_64,Linux-Ubuntu,Intel Xeon E5-2670,8,16,2.81,3.1,29.85,19.4,7.46,70.15,3.82,1.49,1.36,1.19,32,15.48,16.52,48.36,3.52,HDD,1000,597.26,402.74,59.73,3.82,311791,110606,150067,283176,2439,2444,6.13,121,484,15.58,19.35,67.62,2800,192
1,server-linux-01,192.168.1.10,01-01-26 0:06,300370,Windows,Windows Server 2019,10.0.17763,10.0.17763,x86_64,Windows-Server,Apple M1,8,8,3.03,3.2,56.65,36.82,14.16,43.35,4.19,2.83,2.58,2.27,64,25.72,38.28,40.19,-1.69,NVMe,1000,476.84,523.16,47.68,4.19,277867,158543,220507,241560,1877,2773,7.77,117,468,25.28,15.22,52.02,2777,213
1,server-linux-01,192.168.1.10,01-01-26 0:06,300380,Darwin,macOS 13,22.0.0,22.0.0,x86_64,macOS-Ventura,Intel Xeon E5-2670,8,16,2.7,3.1,32.16,20.9,8.04,67.84,5.2,1.61,1.46,1.29,16,8.55,7.45,53.43,6.06,SSD,1000,568.94,431.06,56.89,5.2,214351,210534,123426,285447,2226,3406,10.57,127,508,22.51,4.35,60.56,3262,233
1,server-linux-01,192.168.1.10,01-01-26 0:06,300390,Linux,Ubuntu 22.04,5.15.0,5.15.0-89-generic,x86_64,Linux-Ubuntu,Apple M1,8,8,2.22,3.2,38.21,24.84,9.55,61.79,6.64,1.91,1.74,1.53,16,5.2,10.8,32.49,8.79,HDD,2000,1193.29,806.71,59.66,6.64,271465,226223,133488,307254,2038,3223,13.14,114,456,21.05,8.51,56.16,3075,234
2,server-win-01,192.168.1.20,01-01-26 0:06,300400,Windows,Windows Server 2019,10.0.17763,10.0.17763,x86_64,Windows-Server,AMD Ryzen 7 3700X,8,16,2.92,4.4,41.3,26.85,10.33,58.7,6.91,2.07,1.88,1.65,32,18.66,13.34,58.32,6.36,SSD,1000,614.33,385.67,61.43,6.91,253291,144530,163116,311266,1880,2158,6.99,141,564,12.91,14.96,57.92,2856,131
2,server-win-01,192.168.1.20,01-01-26 0:06,300410,Windows,Windows 10,10.0.19045,10.0.19045,x86_64,Windows-10,Intel i7-9750H,6,12,2.81,4,37.54,24.4,9.38,62.46,4.59,1.88,1.71,1.5,32,17.92,14.08,55.99,2.85,NVMe,2000,1279.86,720.14,63.99,4.59,190596,178275,206149,202128,2862,2922,11.74,111,444,9.55,15.41,63.77,2750,221
3,server-linux-02,192.168.1.30,01-01-26 0:07,300420,Linux,Ubuntu 22.04,5.15.0,5.15.0-89-generic,x86_64,Linux-Ubuntu,Intel Xeon E5-2670,8,16,2.43,3.1,35.47,23.06,8.87,64.53,5.65,1.77,1.61,1.42,64,36.69,27.31,57.32,8.12,NVMe,512,213.57,298.43,41.71,5.65,294857,155128,239934,291120,2816,2996,8.17,161,644,20.46,17.67,56.53,2628,227
2,server-win-01,192.168.1.20,01-01-26 0:07,300430,Windows,Windows 10,10.0.19045,10.0.19045,x86_64,Windows-10,Apple M1,8,8,2.92,3.2,44.23,28.75,11.06,55.77,6.4,2.21,2.01,1.77,64,23.17,40.83,36.21,3.71,NVMe,1000,462.51,537.49,46.25,6.4,300080,151946,116424,274863,2399,2126,11.64,127,508,26.12,7.06,50.72,2755,208
3,server-linux-02,192.168.1.30,01-01-26 0:07,300440,Windows,Windows 10,10.0.19045,10.0.19045,x86_64,Windows-10,Intel Xeon E5-2670,8,16,2.19,3.1,50.2,32.63,12.55,49.8,7.62,2.51,2.28,2.01,32,18.68,13.32,58.36,2.03,SSD,512,236.56,275.44,46.2,7.62,406159,199853,243685,210917,2930,3439,14.69,156,624,20.18,11.82,65.37,2761,200
3,server-linux-02,192.168.1.30,01-01-26 0:07,300450,Windows,Windows Server 2019,10.0.17763,10.0.17763,x86_64,Windows-Server,Apple M1,8,8,2.26,3.2,33.46,21.75,8.37,66.54,4.01,1.67,1.52,1.34,64,17.88,46.12,27.95,4.75,NVMe,512,279.23,232.77,54.54,4.01,348329,169704,200626,273922,2450,2433,11.28,172,688,9.84,12.92,61.13,3464,244
2,server-win-01,192.168.1.20,01-01-26 0:07,300460,Darwin,macOS 13,22.0.0,22.0.0,x86_64,macOS-Ventura,Apple M1,8,8,2.6,3.2,36.89,23.98,9.22,63.11,0.62,1.84,1.68,1.48,64,42.42,21.58,66.28,2.51,NVMe,512,372.35,139.65,72.72,0.62,282143,192129,61922,231258,2004,3057,12.46,114,456,22.21,12.86,57.53,2584,227
4,server-mac-01,192.168.1.40,01-01-26 0:07,300470,Windows,Windows 10,10.0.19045,10.0.19045,x86_64,Windows-10,AMD Ryzen 7 3700X,8,16,3.33,4.4,50.9,33.09,12.73,49.1,3.75,2.55,2.31,2.04,64,42.46,21.54,66.34,6.28,HDD,2000,1030.21,969.79,51.51,3.75,190465,117632,209052,224942,1645,2832,9.88,165,660,24.51,17.49,45.64,2954,264
4,server-mac-01,192.168.1.40,01-01-26 0:08,300480,Windows,Windows 10,10.0.19045,10.0.19045,x86_64,Windows-10,AMD Ryzen 7 3700X,8,16,3.8,4.4,38.91,25.29,9.73,61.09,8.7,1.95,1.77,1.56,16,4.38,11.62,27.35,7.06,NVMe,2000,767.95,1232.05,38.4,8.7,359717,205158,166662,363424,1921,2298,14.44,132,528,17.8,6.61,63.03,2698,218
4,server-mac-01,192.168.1.40,01-01-26 0:08,300490,Darwin,macOS 13,22.0.0,22.0.0,x86_64,macOS-Ventura,Apple M1,8,8,2.33,3.2,39.76,25.84,9.94,60.24,6.6,1.99,1.81,1.59,16,5.94,10.06,37.09,2.75,NVMe,2000,1312.26,687.74,65.61,6.6,150678,217413,165456,314542,2617,2506,11.02,92,368,11.95,11.01,55.62,2948,165
3,server-linux-02,192.168.1.30,01-01-26 0:08,300500,Windows,Windows 10,10.0.19045,10.0.19045,x86_64,Windows-10,Intel i7-9750H,6,12,2.56,4,53.15,34.55,13.29,46.85,6.19,2.66,2.42,2.13,32,14.08,17.92,43.99,5.83,SSD,2000,1217.65,782.35,60.88,6.19,137120,151320,149078,273736,2271,2768,8.21,138,552,27.84,7.31,58.92,3534,240
2,server-win-01,192.168.1.20,01-01-26 0:08,300510,Windows,Windows Server 2019,10.0.17763,10.0.17763,x86_64,Windows-Server,Intel i7-9750H,6,12,3.67,4,40.11,26.07,10.03,59.89,4.88,2.01,1.82,1.6,32,14.86,17.14,46.43,7.71,HDD,1000,343.91,656.09,34.39,4.88,156458,262987,53262,246665,2630,1947,3.25,122,488,17.87,11,66.55,3013,182
4,server-mac-01,192.168.1.40,01-01-26 0:08,300520,Linux,Ubuntu 22.04,5.15.0,5.15.0-89-generic,x86_64,Linux-Ubuntu,Intel i7-9750H,6,12,3.08,4,49.42,32.12,12.36,50.58,6.67,2.47,2.25,1.98,64,22.95,41.05,35.87,3.65,SSD,1000,399.57,600.43,39.96,6.67,210886,184109,220929,336543,2171,3395,12.31,122,488,16.2,17.76,75.88,3143,249
2,server-win-01,192.168.1.20,01-01-26 0:08,300530,Linux,Ubuntu 22.04,5.15.0,5.15.0-89-generic,x86_64,Linux-Ubuntu,Apple M1,8,8,3.06,3.2,37.92,24.65,9.48,62.08,3.35,1.9,1.72,1.52,32,12.76,19.24,39.86,2.87,HDD,2000,827.39,1172.61,41.37,3.35,225304,277304,136747,256203,2097,3481,9.16,86,344,36.29,6.39,65.01,2992,208
2,server-win-01,192.168.1.20,01-01-26 0:09,300540,Windows,Windows Server 2019,10.0.17763,10.0.17763,x86_64,Windows-Server,AMD Ryzen 7 3700X,8,16,3.83,4.4,42.18,27.42,10.54,57.82,4.57,2.11,1.92,1.69,16,7.71,8.29,48.22,4.12,NVMe,2000,1076.19,923.81,53.81,4.57,199899,226688,207659,278690,2120,1773,12.1,104,416,24.9,8.48,61,2792,243
4,server-mac-01,192.168.1.40,01-01-26 0:09,300550,Windows,Windows 10,10.0.19045,10.0.19045,x86_64,Windows-10,AMD Ryzen 7 3700X,8,16,3.63,4.4,49.78,32.36,12.45,50.22,6.74,2.49,2.26,1.99,64,45.83,18.17,71.6,3.75,SSD,1000,594.7,405.3,59.47,6.74,330250,277854,213595,278052,2714,1829,11.03,106,424,6.11,12.03,54.85,3211,224
3,server-linux-02,192.168.1.30,01-01-26 0:09,300560,Linux,Ubuntu 22.04,5.15.0,5.15.0-89-generic,x86_64,Linux-Ubuntu,Intel Xeon E5-2670,8,16,2.17,3.1,28.4,18.46,7.1,71.6,7.63,1.42,1.29,1.14,16,7.54,8.46,47.15,3.26,SSD,1000,726.62,273.38,72.66,7.63,299456,97743,206452,249634,2051,2321,9.53,145,580,24.33,11.92,68.97,3177,234
1,server-linux-01,192.168.1.10,01-01-26 0:09,300570,Linux,Ubuntu 22.04,5.15.0,5.15.0-89-generic,x86_64,Linux-Ubuntu,AMD Ryzen 7 3700X,8,16,3.11,4.4,32.99,21.45,8.25,67.01,7.43,1.65,1.5,1.32,16,10.36,5.64,64.73,5.39,SSD,512,220.14,291.86,43,7.43,246479,150643,225081,192859,1855,3038,7.72,119,476,1.58,9.22,59.44,2768,182
1,server-linux-01,192.168.1.10,01-01-26 0:09,300580,Windows,Windows 10,10.0.19045,10.0.19045,x86_64,Windows-10,Intel i7-9750H,6,12,2.78,4,26.12,16.98,6.53,73.88,6.93,1.31,1.19,1.04,64,34.24,29.76,53.5,4.16,HDD,1000,227.93,772.07,22.79,6.93,226781,175400,151484,337051,2068,3268,10.24,103,412,27.63,15.2,59.3,3469,190
1,server-linux-01,192.168.1.10,01-01-26 0:09,300590,Windows,Windows Server 2019,10.0.17763,10.0.17763,x86_64,Windows-Server,AMD Ryzen 7 3700X,8,16,2.18,4.4,38.15,24.8,9.54,61.85,4.81,1.91,1.73,1.53,32,19.08,12.92,59.63,4.71,SSD,1000,450.62,549.38,45.06,4.81,243498,188983,170005,256422,3095,2567,15.6,129,516,4.59,12.28,54.48,2762,209
2,server-win-01,192.168.1.20,01-01-26 0:10,300600,Windows,Windows Server 2019,10.0.17763,10.0.17763,x86_64,Windows-Server,Intel i7-9750H,6,12,2.72,4,37.35,24.28,9.34,62.65,9.11,1.87,1.7,1.49,64,37.39,26.61,58.42,5.48,SSD,2000,1046.03,953.97,52.3,9.11,200626,214691,103071,317194,2396,2003,7.38,115,460,16.07,9.13,55.59,3229,236
1,server-linux-01,192.168.1.10,01-01-26 0:10,300610,Darwin,macOS 13,22.0.0,22.0.0,x86_64,macOS-Ventura,Intel i7-9750H,6,12,2.55,4,37.6,24.44,9.4,62.4,3.96,1.88,1.71,1.5,64,43.98,20.02,68.71,5.76,HDD,2000,1054.76,945.24,52.74,3.96,231261,157770,156800,315359,1847,2315,11.26,152,608,20.02,8.71,64.74,2574,222
1,server-linux-01,192.168.1.10,01-01-26 0:10,300620,Darwin,macOS 13,22.0.0,22.0.0,x86_64,macOS-Ventura,Apple M1,8,8,2.29,3.2,34.02,22.12,8.51,65.98,6.01,1.7,1.55,1.36,64,37.04,26.96,57.88,5.74,HDD,512,265.44,246.56,51.84,6.01,277220,117712,159366,292290,2829,2385,8.95,110,440,18.42,11.24,51.87,3554,188
2,server-win-01,192.168.1.20,01-01-26 0:10,300630,Linux,Ubuntu 22.04,5.15.0,5.15.0-89-generic,x86_64,Linux-Ubuntu,Intel i7-9750H,6,12,2.99,4,25.77,16.75,6.44,74.23,4.75,1.29,1.17,1.03,16,7.36,8.64,45.99,6.44,SSD,512,305.64,206.36,59.7,4.75,204552,117520,90571,233309,1624,2330,7.09,98,392,14.41,16.87,64.09,2994,180
